PLAYER PROFILE: Kevin Durant
==================================================

Position: Forward
Team: Rockets
Height: 6-11
Weight: 240 lbs
Country: USA
Draft Year: 2007, Round: 1, Pick: 2
Years Pro: 18

CAREER STATS BY SEASON:
Season       Team   GP    PTS     REB     AST     STL    BLK    FG%     3P%     FT%
--------------------------------------------------------------------------------
2007-08      SEA    80    20.3    4.3     2.4     1.0    0.9    43.0    28.8    87.3
2008-09      OKC    74    25.3    6.5     2.8     1.3    0.7    47.6    42.2    86.3
2009-10      OKC    82    30.1    7.6     2.8     1.4    1.0    47.6    36.5    90.0
2010-11      OKC    78    27.7    6.8     2.7     1.1    1.0    46.2    35.0    88.0
2011-12      OKC    66    28.0    8.0     3.5     1.3    1.2    49.6    38.7    86.0
2012-13      OKC    81    28.1    7.9     4.6     1.4    1.3    51.0    41.6    90.5
2013-14      OKC    81    32.0    7.4     5.5     1.3    0.7    50.3    39.1    87.3
2014-15      OKC    27    25.4    6.6     4.1     0.9    0.9    51.0    40.3    85.4
2015-16      OKC    72    28.2    8.2     5.0     1.0    1.2    50.5    38.7    89.8
2016-17      GSW    62    25.1    8.3     4.8     1.1    1.6    53.7    37.5    87.5
2017-18      GSW    68    26.4    6.8     5.4     0.7    1.8    51.6    41.9    88.9
2018-19      GSW    78    26.0    6.4     5.9     0.7    1.1    52.1    35.3    88.5
2020-21      BKN    35    26.9    7.1     5.6     0.7    1.3    53.7    45.0    88.2
2021-22      BKN    55    29.9    7.4     6.4     0.9    0.9    51.8    38.3    91.0
2022-23      BKN    39    29.7    6.7     5.3     0.8    1.5    55.9    37.6    93.4
2022-23      PHX    8     26.0    6.4     3.5     0.2    1.2    57.0    53.7    83.3
2022-23      TOT    47    29.1    6.7     5.0     0.7    1.4    56.0    40.4    91.9
2023-24      PHX    75    27.1    6.6     5.0     0.9    1.2    52.3    41.3    85.6
2024-25      PHX    62    26.6    6.0     4.2     0.8    1.2    52.7    43.0    83.9
2025-26      HOU    56    26.2    5.4     4.6     0.8    0.9    51.0    39.9    88.8
