PLAYER PROFILE: LeBron James
==================================================

Position: Forward
Team: Lakers
Height: 6-9
Weight: 250 lbs
Country: USA
Draft Year: 2003, Round: 1, Pick: 1
Years Pro: 22

CAREER STATS BY SEASON:
Season       Team   GP    PTS     REB     AST     STL    BLK    FG%     3P%     FT%
--------------------------------------------------------------------------------
2003-04      CLE    79    20.9    5.5     5.9     1.6    0.7    41.7    29.0    75.4
2004-05      CLE    80    27.2    7.3     7.2     2.2    0.7    47.2    35.1    75.0
2005-06      CLE    79    31.4    7.0     6.6     1.6    0.8    48.0    33.5    73.8
2006-07      CLE    78    27.3    6.7     6.0     1.6    0.7    47.6    31.9    69.8
2007-08      CLE    75    30.0    7.9     7.2     1.8    1.1    48.4    31.5    71.2
2008-09      CLE    81    28.4    7.6     7.2     1.7    1.1    48.9    34.4    78.0
2009-10      CLE    76    29.7    7.3     8.6     1.6    1.0    50.3    33.3    76.7
2010-11      MIA    79    26.7    7.5     7.0     1.6    0.6    51.0    33.0    75.9
2011-12      MIA    62    27.1    7.9     6.2     1.9    0.8    53.1    36.2    77.1
2012-13      MIA    76    26.8    8.0     7.2     1.7    0.9    56.5    40.6    75.3
2013-14      MIA    77    27.1    6.9     6.3     1.6    0.3    56.7    37.9    75.0
2014-15      CLE    69    25.3    6.0     7.4     1.6    0.7    48.8    35.4    71.0
2015-16      CLE    76    25.3    7.4     6.8     1.4    0.6    52.0    30.9    73.1
2016-17      CLE    74    26.4    8.6     8.7     1.2    0.6    54.8    36.3    67.4
2017-18      CLE    82    27.5    8.6     9.1     1.4    0.9    54.2    36.7    73.1
2018-19      LAL    55    27.4    8.5     8.3     1.3    0.6    51.0    33.9    66.5
2019-20      LAL    67    25.3    7.8     10.2    1.2    0.5    49.3    34.8    69.3
2020-21      LAL    45    25.0    7.7     7.8     1.1    0.6    51.3    36.5    69.8
2021-22      LAL    56    30.3    8.2     6.2     1.3    1.1    52.4    35.9    75.6
2022-23      LAL    55    28.9    8.3     6.8     0.9    0.6    50.0    32.1    76.8
2023-24      LAL    71    25.7    7.3     8.3     1.3    0.5    54.0    41.0    75.0
2024-25      LAL    70    24.4    7.8     8.2     1.0    0.6    51.3    37.6    78.2
2025-26      LAL    41    21.5    5.7     7.0     1.0    0.6    49.8    31.1    74.9
